0 hsa-miR-193b-3p ENSG00000228506 hsa-miR-363-3p ENSG00000255399 hsa-miR-363-3p ENSG00000228794 hsa-miR-137 ENSG00000230551 hsa-miR-195-5p ENSG00000269290
0 ENSG00000245149 hsa-miR-497-5p ENSG00000258399 hsa-miR-16-5p ENSG00000251364 hsa-miR-145-5p ENSG00000255717 hsa-miR-154-5p ENSG00000233631 hsa-let-7d-5p
0 hsa-miR-378e ENSG00000259758 hsa-miR-370-3p ENSG00000093100 hsa-miR-431-5p ENSG00000093100 hsa-miR-199a-5p ENSG00000242557 hsa-miR-199a-5p ENSG00000185186
0 ENSG00000254911 hsa-miR-376b-3p ENSG00000223482 hsa-miR-107 ENSG00000236453 hsa-miR-195-5p ENSG00000230061 hsa-miR-424-5p ENSG00000179743 hsa-miR-16-5p
0 ENSG00000224137 hsa-miR-19b-3p ENSG00000218510 hsa-miR-424-5p ENSG00000253284 hsa-miR-495-3p ENSG00000231074 hsa-miR-378i ENSG00000231074 hsa-miR-193b-3p
0 ENSG00000243155 hsa-miR-148a-3p ENSG00000223482 hsa-miR-4295 ENSG00000185904 hsa-miR-4295 ENSG00000224189 hsa-miR-19b-3p ENSG00000250337 hsa-miR-338-3p
0 hsa-miR-1271-5p ENSG00000242375 hsa-let-7b-5p ENSG00000260267 hsa-let-7i-5p ENSG00000239002 hsa-let-7f-5p ENSG00000260208 hsa-miR-193a-3p ENSG00000229807
0 hsa-miR-137 ENSG00000263731 hsa-miR-3118 ENSG00000214719 hsa-miR-3118 ENSG00000232151 hsa-miR-200c-3p ENSG00000235703 hsa-miR-98-5p ENSG00000233864
0 hsa-miR-367-3p ENSG00000240859 hsa-miR-363-3p ENSG00000271533 hsa-miR-376a-3p ENSG00000271533 hsa-miR-376b-3p ENSG00000242288 hsa-miR-376b-3p ENSG00000238206
0 ENSG00000264456 hsa-miR-374b-5p ENSG00000231889 hsa-miR-374b-5p ENSG00000245937 hsa-miR-16-5p ENSG00000259673 hsa-miR-15a-5p ENSG00000263580 hsa-miR-424-5p
0 ENSG00000270277 hsa-miR-203a ENSG00000215417 hsa-miR-153-3p ENSG00000229807 hsa-miR-193a-3p ENSG00000266962 hsa-miR-3118 ENSG00000269941 hsa-miR-708-5p
0 ENSG00000267243 hsa-miR-490-3p ENSG00000225062 hsa-miR-199b-5p ENSG00000225062 hsa-miR-490-3p ENSG00000234912 hsa-miR-372-3p ENSG00000261438 hsa-miR-302c-3p
0 ENSG00000264198 hsa-miR-101-3p ENSG00000260415 hsa-miR-497-5p ENSG00000251161 hsa-miR-23c ENSG00000229807 hsa-miR-7-5p ENSG00000267858 hsa-miR-497-5p
0 ENSG00000249635 hsa-miR-144-3p ENSG00000259834 hsa-miR-27a-3p ENSG00000234129 hsa-miR-34a-5p ENSG00000259758 hsa-let-7a-5p ENSG00000261609 hsa-miR-520a-3p
0 hsa-miR-376c-3p ENSG00000261654 hsa-miR-376c-3p ENSG00000270113 hsa-let-7i-5p ENSG00000242375 hsa-let-7c-5p ENSG00000273333 hsa-let-7b-5p ENSG00000272923
